institution_country_1,institution_name_1,couple_1,couple_2,institution_name_2,institution_country_2,sum_paper
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,113121345,"Department of Computer Science, Jl. Raya Dramaga, Bogor, West Java, Indonesia, 16680",Indonesia,13
United States,"Department of Geography, Knoxville, TN, United States",100261271,60013609,"Woods Hole Oceanographic Institution, 266 Woods Hole Road, Woods Hole, MA, United States, 02543-1050",United States,13
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,108173563,"Computer Science Faculty, Depok, Java, Indonesia, 16424",Indonesia,12
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,112605579,"School of Informatics, Old College South Bridge, Edinburgh, Scotland, United Kingdom, EH8 9YL",United Kingdom,12
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,104758239,"Research Center for Development of Science and Technology, Jakarta, Java, Indonesia",Indonesia,12
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,122276664,"Department of Information Technology, Depok, Java, Indonesia, 16424",Indonesia,12
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,119205554,"Fakultas Ilmu Komputer, Depok, Java, Indonesia, 16424",Indonesia,12
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,111197494,"Department of Mathematics, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",Indonesia,12
Indonesia,"Computer Siene Department, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",123304129,60103610,"Bina Nusantara University, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",Indonesia,12
Italy,"Università di Pisa, Lung'Arno Pacinotti 43, Pisa, PI, Italy, 56126",60028868,105216101,"Intecs S.p.A., Polo di Att. Montacchiello, Loc. Ospedaletto, Pisa, Italy, 56121",Italy,12
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60107865,"STMIK Nusa Mandiri, Jakarta, Indonesia",Indonesia,12
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,60111309,"Universitas Paramadina, Jl. Gatot Subroto Kav. 97, Mampang, Jakarta, Indonesia, 12790",Indonesia,12
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60111309,"Universitas Paramadina, Jl. Gatot Subroto Kav. 97, Mampang, Jakarta, Indonesia, 12790",Indonesia,12
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60011226,"Technische Universität Darmstadt, Karolinenplatz 5, Darmstadt, Hessen, Germany, 64289",Germany,12
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60069382,"Institut Teknologi Bandung, Jl. Tamansari 64, Bandung, West Java, Indonesia, 40116",Indonesia,12
