id_scopus,h_index,indexed_name,given_name,surname,full_name,current_affiliation_id,affil_name,affil_address,affil_city,affil_state,affil_country,affil_postal_code,dosen_fasilkom,sum_paper,lower_full_name
7003524142,6,Arko R.,Robert A.,Arko,Robert A. Arko,60033011,Lamont-Doherty Earth Observatory,61 Rte. 9W.,Palisades,NY,United States,10964,no,5,robert a arko
6701464856,34,Carbotte S.,Suzanne M.C.,Carbotte,Suzanne M.C. Carbotte,104676705,Marine Geology and Geophysics,61 Rte. 9W.,Palisades,NY,United States,10964,no,5,suzanne m c carbotte
14014149800,6,Chandler C.,Cynthia L.,Chandler,Cynthia L. Chandler,60013609,Woods Hole Oceanographic Institution,266 Woods Hole Road,Woods Hole,MA,United States,02543-1050,no,5,cynthia l chandler
55426308900,4,Ji P.,Peng,Ji,Peng Ji,60033011,Lamont-Doherty Earth Observatory,61 Rte. 9W.,Palisades,NY,United States,10964,no,3,peng ji
56113121200,4,Shepherd A.,Adam I.,Shepherd,Adam I. Shepherd,60013609,Woods Hole Oceanographic Institution,266 Woods Hole Road,Woods Hole,MA,United States,02543-1050,no,5,adam i shepherd
7005575114,47,Wiebe P.,Peter Howard,Wiebe,Peter Howard Wiebe,60013609,Woods Hole Oceanographic Institution,266 Woods Hole Road,Woods Hole,MA,United States,02543-1050,no,5,peter howard wiebe
57188451100,1,Finest T.,Timothy,Finest,Timothy Finest,60024997,"University of Maryland, Baltimore County",1000 Hilltop Circle,Baltimore,MD,United States,21201,no,1,timothy finest
7102737492,4,Raymond L.,Lisa,Raymond,Lisa Raymond,60013609,Woods Hole Oceanographic Institution,266 Woods Hole Road,Woods Hole,MA,United States,02543-1050,no,4,lisa raymond
55941882400,28,Weidema B.P.,Bo P.,Weidema,Bo P. Weidema,60022134,Aalborg Universitet,"Fredrik Bajers Vej 5, Postboks 159",Aalborg,,Denmark,9100,no,1,bo p weidema
6505917224,8,Rivela B.,B.,Rivela,B. Rivela,120246201,Institute of Habitat Science,"Campus Politecnico Ruben Orellana / Ladron de Guevara E11-253, ",Quito,Ecuador,Ecuador,170517,no,1,b rivela
6507586219,2,Tivander J.,Johan,Tivander,Johan Tivander,103097537,Environmental Systems Analysis,Maskingränd 2,Göteborg,Vastra Gotalands,Sweden,412 96,no,1,johan tivander
57203202558,12,Meyer D.E.,David E.,Meyer,David E. Meyer,103268808,Office of Research and Development,26 Martin Luther King Drive,Cincinnati,OH,United States,45268,no,1,david e meyer
6507160931,5,Berg-Cross G.,Gary,Berg-Cross,Gary Berg-Cross,120368546,RDA US Advisory Group,,Troy,NY,United States,,no,2,gary berg cross
16031129800,2,Fils D.,Douglas,Fils,Douglas Fils,60082102,Consortium for Ocean Leadership,,"Washington, D.C.",DC,United States,,no,2,douglas fils
7003679538,46,Finin T.,Tim,Finin,Tim Finin,60024997,"University of Maryland, Baltimore County",1000 Hilltop Circle,Baltimore,MD,United States,21201,no,3,tim finin
57203774541,8,Jones M.,Matthew B.,Jones,Matthew B. Jones,60020760,National Center for Ecological Analysis and Synthesis,"735 State Street, Suite 300",Santa Barbara,CA,United States,93101-5509,no,2,matthew b jones
24171247000,10,Lehnert K.,Kerstin A.,Lehnert,Kerstin A. Lehnert,60033011,Lamont-Doherty Earth Observatory,61 Rte. 9W.,Palisades,NY,United States,10964,no,2,kerstin a lehnert
57031748000,1,Mickle A.,Audrey,Mickle,Audrey Mickle,60013609,Woods Hole Oceanographic Institution,266 Woods Hole Road,Woods Hole,MA,United States,02543-1050,no,2,audrey mickle
8768122000,7,O'Brien M.,Margaret C.,O'Brien,Margaret C. O'Brien,104475822,Marine Science Institute,,Santa Barbara,CA,United States,93106-0001,no,1,margaret c o brien
8902317200,20,Schildhauer M.,Mark P.,Schildhauer,Mark P. Schildhauer,60020760,National Center for Ecological Analysis and Synthesis,"735 State Street, Suite 300",Santa Barbara,CA,United States,93101-5509,no,2,mark p schildhauer
56440101100,8,O’Brien M.,Margaret E.R.,O’Brien,Margaret E.R. O’Brien,114027201,Division of Epidemiology,8701 Watertown Plank Road,Milwaukee,WI,United States,53226,no,1,margaret e r o brien
